Date,Category,Amount,Payment_Method,Description
2025-01-01,Bills,3902,UPI,Movie
2025-01-02,Bills,4404,UPI,Movie
2025-01-03,Shopping,4989,Card,Lunch
2025-01-04,Food,1211,Cash,Lunch
2025-01-05,Entertainment,3529,Cash,Movie
2025-01-06,Entertainment,558,Cash,Lunch
2025-01-07,Shopping,4196,Cash,Lunch
2025-01-08,Entertainment,2525,UPI,Lunch
2025-01-09,Entertainment,416,Card,Electricity
2025-01-10,Travel,1523,Cash,Bus
2025-01-11,Shopping,1341,Cash,Movie
2025-01-12,Bills,2659,UPI,Electricity
2025-01-13,Travel,2630,Card,Movie
2025-01-14,Food,3240,UPI,Amazon
2025-01-15,Entertainment,3248,Cash,Movie
2025-01-16,Shopping,589,Card,Electricity
2025-01-17,Bills,2960,Cash,Bus
2025-01-18,Entertainment,861,Card,Movie
2025-01-19,Entertainment,1205,Cash,Lunch
2025-01-20,Travel,3901,UPI,Bus
2025-01-21,Bills,3255,Card,Bus
2025-01-22,Shopping,602,Card,Electricity
2025-01-23,Travel,4314,Card,Electricity
2025-01-24,Food,2574,UPI,Movie
2025-01-25,Food,1540,Card,Movie
2025-01-26,Shopping,2337,Cash,Movie
2025-01-27,Entertainment,1498,UPI,Amazon
2025-01-28,Entertainment,4638,Card,Bus
2025-01-29,Shopping,2760,Card,Lunch
2025-01-30,Bills,4826,Cash,Electricity
2025-01-31,Travel,528,Card,Movie
2025-02-01,Shopping,1749,Card,Bus
2025-02-02,Bills,4953,Cash,Movie
2025-02-03,Bills,1256,Card,Electricity
2025-02-04,Shopping,380,UPI,Electricity
2025-02-05,Entertainment,3199,UPI,Movie
2025-02-06,Food,3234,UPI,Lunch
2025-02-07,Entertainment,3239,Cash,Amazon
2025-02-08,Bills,2525,Cash,Electricity
2025-02-09,Food,1899,Card,Amazon
2025-02-10,Bills,4858,Card,Bus
2025-02-11,Shopping,711,Cash,Electricity
2025-02-12,Travel,617,Cash,Movie
2025-02-13,Food,2414,UPI,Movie
2025-02-14,Bills,3830,Card,Bus
2025-02-15,Entertainment,3785,Cash,Bus
2025-02-16,Bills,2495,Cash,Movie
2025-02-17,Entertainment,2301,UPI,Amazon
2025-02-18,Shopping,115,UPI,Lunch
2025-02-19,Travel,3058,UPI,Lunch
2025-02-20,Shopping,716,UPI,Amazon
2025-02-21,Food,1536,UPI,Lunch
2025-02-22,Entertainment,428,Cash,Bus
2025-02-23,Entertainment,1975,Cash,Bus
2025-02-24,Entertainment,1554,UPI,Amazon
2025-02-25,Shopping,791,Cash,Movie
2025-02-26,Entertainment,655,UPI,Lunch
2025-02-27,Travel,3343,Cash,Electricity
2025-02-28,Food,136,Card,Bus
2025-03-01,Travel,3714,Card,Electricity
2025-03-02,Entertainment,4619,UPI,Lunch
2025-03-03,Food,2112,Card,Electricity
2025-03-04,Food,2977,Card,Bus
2025-03-05,Entertainment,2443,Cash,Amazon
2025-03-06,Entertainment,2845,Card,Movie
2025-03-07,Shopping,4247,Cash,Lunch
2025-03-08,Travel,1326,Card,Amazon
2025-03-09,Food,4571,Card,Movie
2025-03-10,Travel,2032,Cash,Lunch
2025-03-11,Travel,4838,UPI,Lunch
2025-03-12,Shopping,3493,Card,Bus
2025-03-13,Entertainment,2171,UPI,Movie
2025-03-14,Entertainment,3432,UPI,Lunch
2025-03-15,Entertainment,3386,Card,Amazon
2025-03-16,Travel,3980,UPI,Bus
2025-03-17,Shopping,4772,UPI,Amazon
2025-03-18,Shopping,1288,Cash,Bus
2025-03-19,Shopping,151,Cash,Amazon
2025-03-20,Travel,2195,Cash,Electricity
2025-03-21,Food,2236,Card,Lunch
2025-03-22,Bills,4556,Cash,Movie
2025-03-23,Food,4518,Cash,Bus
2025-03-24,Bills,2542,UPI,Amazon
2025-03-25,Entertainment,4367,Cash,Electricity
2025-03-26,Food,462,Cash,Bus
2025-03-27,Travel,4488,Card,Electricity
2025-03-28,Bills,4093,UPI,Lunch
2025-03-29,Travel,1464,Card,Movie
2025-03-30,Bills,2654,UPI,Lunch
2025-03-31,Food,4391,UPI,Bus
2025-04-01,Shopping,1560,UPI,Lunch
2025-04-02,Food,1454,Cash,Amazon
2025-04-03,Shopping,2659,Cash,Electricity
2025-04-04,Travel,1897,UPI,Lunch
2025-04-05,Entertainment,2023,Cash,Lunch
2025-04-06,Shopping,4524,UPI,Electricity
2025-04-07,Travel,1062,Card,Bus
2025-04-08,Travel,282,Card,Bus
2025-04-09,Travel,4258,Card,Amazon
2025-04-10,Food,962,Card,Bus
