Month,Category,Amount
2025-01,Bills,35412
2025-01,Entertainment,45372
2025-01,Food,8565
2025-01,Others,17444
2025-01,Shopping,21552
2025-01,Travel,29173
2025-02,Bills,28132
2025-02,Entertainment,31605
2025-02,Food,9219
2025-02,Others,8598
2025-02,Shopping,14171
2025-02,Travel,23779
2025-03,Bills,30721
2025-03,Entertainment,38870
2025-03,Food,21267
2025-03,Others,28151
2025-03,Shopping,28571
2025-03,Travel,45146
2025-04,Bills,7183
2025-04,Entertainment,2023
2025-04,Food,2416
2025-04,Others,5480
2025-04,Shopping,14455
2025-04,Travel,9805
2026-05,Others,100000000000
